Veličina trening skupa,Train F1 (prosek),Train F1 (std),CV F1 (prosek),CV F1 (std),Razmak (Train - CV)
31,1.0,0.0,0.8822673340748979,0.06672390662306416,0.11773266592510212
49,0.9810616705698673,0.011589874509813846,0.879961846063541,0.06509316669675967,0.10109982450632626
67,0.9827810505645557,0.00574543856475235,0.8823635023782408,0.06335098990116818,0.10041754818631488
85,0.9875063613231552,0.010451915285435256,0.8832616448562975,0.0627815176919402,0.10424471646685762
103,0.9976190476190476,0.004761904761904744,0.8745346416889681,0.06281836753479883,0.12308440593007952
121,0.9970443349753694,0.005911330049261077,0.8778541177263044,0.062124895541836436,0.11919021724906498
139,0.990186564891695,0.00859572592115659,0.8458906410172522,0.05064072390794741,0.1442959238744428
158,0.9896653003473439,0.007055223373926809,0.8442065629420806,0.05476517884665631,0.14545873740526327
