Seed,Accuracy,F1-macro,ROC-AUC
0,0.8095238095238095,0.7171717171717171,0.9263888888888889
1,0.8372093023255814,0.7635506677140613,0.8064516129032259
7,0.8372093023255814,0.7433930093776642,0.7728494623655914
42,0.8837209302325582,0.8311076197957581,0.9704301075268817
100,0.6666666666666666,0.45955882352941174,0.8791666666666668
123,0.7441860465116279,0.5558685446009389,0.7043010752688171
2024,0.6744186046511628,0.4027777777777778,0.9274193548387095
