Model,Accuracy,Precision,Recall,F1-score,ROC-AUC
SVM,0.8653225806451614,0.8547008547008547,0.9916666666666668,0.9176349924585219,0.8767404244306419
Random Forest,0.8915322580645162,0.8983423983423984,0.9666666666666668,0.9296681455190772,0.9465515010351966
KNN,0.9034274193548388,0.9188651059085842,0.9576086956521739,0.9373706004140786,0.942281314699793
Logistic Regression,0.833467741935484,0.8722624798711754,0.9152173913043479,0.8918435907202845,0.9002587991718427
Decision Tree,0.8723790322580646,0.929968944099379,0.8981884057971016,0.9135403526476609,0.8455227743271223
