Model,Accuracy,Precision,Recall,F1-score,ROC-AUC
Baseline (majority class),0.7638709677419355,0.7638709677419355,1.0,0.863904761904762,0.5
SVM,0.8561290322580645,0.8591960297766749,0.992,0.9136145124716553,0.7038742690058479
Random Forest,0.8032258064516128,0.8371537157688437,0.951,0.8814086918033125,0.7694093567251461
Gradient Boosting (XGBoost),0.7632258064516129,0.8259565795717074,0.9093333333333333,0.8554276438657427,0.7908538011695907
Logistic Regression,0.7963440860215054,0.8706325932132384,0.9006666666666666,0.8722503175961214,0.7546111111111111
KNN,0.7436559139784947,0.8226610936955765,0.8853333333333333,0.8400331450351788,0.7964692982456141
Decision Tree,0.7305376344086023,0.8349494949494949,0.8436666666666668,0.8266414760897772,0.6468333333333334
